,index,timestamp,address,sens1,sens2,sens3,sens4
15133,26533,17.823999881744385, John/eeg, 927.545787546, 836.080586081, 834.468864469, 833.663003663
15135,26535,17.823999881744385, John/eeg, 936.813186813, 839.706959707, 838.901098901, 857.435897436
15137,26537,17.825000047683716, John/eeg, 956.153846154, 842.124542125, 847.362637363, 846.556776557
15139,26539,17.825000047683716, John/eeg, 950.512820513, 840.915750916, 844.945054945, 815.531135531
15141,26541,17.825000047683716, John/eeg, 960.183150183, 839.706959707, 844.945054945, 828.424908425
15143,26543,17.825000047683716, John/eeg, 958.571428571, 832.454212454, 844.139194139, 835.677655678
15145,26545,17.825999975204468, John/eeg, 941.245421245, 827.216117216, 840.915750916, 834.871794872
15153,26553,17.906999826431274, John/eeg, 946.080586081, 826.007326007, 840.915750916, 841.721611722
15155,26555,17.906999826431274, John/eeg, 937.216117216, 821.978021978, 841.318681319, 860.659340659
15157,26557,17.906999826431274, John/eeg, 930.366300366, 824.798534799, 836.886446886, 863.47985348
15159,26559,17.906999826431274, John/eeg, 945.677655678, 828.424908425, 826.007326007, 859.853479853
15161,26561,17.907999992370605, John/eeg, 963.003663004, 831.648351648, 822.783882784, 863.076923077
15163,26563,17.907999992370605, John/eeg, 979.926739927, 832.857142857, 820.769230769, 847.765567766
15165,26565,17.907999992370605, John/eeg, 981.538461538, 832.454212454, 824.395604396, 829.633699634
15167,26567,17.907999992370605, John/eeg, 962.197802198, 830.036630037, 833.663003663, 853.003663004
15169,26569,17.908999919891357, John/eeg, 977.106227106, 825.604395604, 833.26007326, 868.717948718
15171,26571,17.908999919891357, John/eeg, 1003.2967033, 826.41025641, 827.216117216, 843.333333333
